상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,PVC 라이트필름 (60cm x 10m) 1롤단위 판매,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/PVCfilm4p.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/PVCfilm4p.jpg""></p><br></td></tr></tbody></table>
	",,,,45000,,62999.99999999999,,,,,,,,,N,Y,T,S,,옵션{K515 다크그레이|K515 투명|K515 카멜리온},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1620611910413m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1620611910413m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1620611910413m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1620611910413m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,PPF TPU 고급 라이트필름 30cm x 8m(한롤) 단위 판매,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/Lightfilm_2021_8m.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/Lightfilm_2021_8m.jpg""></p><br></td></tr></tbody></table>
	",,,,48000,,67200.0,,,,,,,,,N,Y,T,S,,옵션{K468 투명|K468 라이트블루|K468 브라운|K468 라이트블랙|K468 다크블랙|K468 멧블랙},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1616561597000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1616561597000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1616561597000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1616561597000_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,PPF TPU 라이트필름 30x30 단위 판매,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/Lightfilm_2021.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/Lightfilm_2021.jpg""></p><br></td></tr></tbody></table>
	",,,,2000,,2800.0,,,,,,,,,N,Y,T,S,,옵션{K467 투명|K467 라이트블루|K467 브라운|K467 라이트블랙|K467 다크블랙|K467 멧블랙},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1616561392670m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1616561392670m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1616561392670m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1616561392670m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,차량용 반사형 휀다 도어 리플렉터가드 4개 1세트,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/carJ/Reflector_Guard.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/carJ/Reflector_Guard.jpg""></p><br>
</td></tr></tbody></table>
	",,,,1500,,2100.0,,,,,,,,,N,Y,T,S,,옵션{K447 휀다 도어 리플렉터 가드/옐로우|K447 휀다 도어 리플렉터 가드/오렌지|K447 휀다 도어 리플렉터 가드/레드|K447 휀다 도어 리플렉터 가드/블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1613968719771m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1613968719771m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1613968719771m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1613968719771m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,자동차 차량용 카본 도어캐치 보호 필름 도어컵 / 4개1세트,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/TPU_doorfilm.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/TPU_doorfilm.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,,,1500,,2100.0,,,,,,,,,N,Y,T,S,,옵션{K427 카본블랙/4장1세트|K427 카본레드/4장1세트|K427 카본화이트/4장1세트},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1606359724558m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1606359724558m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1606359724558m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1606359724558m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,화물차 트럭용 사이드미러 방수발수 코팅필름 2개1세트 350mmx160mm,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/Waterroof_truck.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/Waterroof_truck.jpg""></p><br></td></tr></tbody></table>
	",,,,4000,,5600.0,,,,,,,,,N,Y,T,S,,옵션{K284},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1596697064574m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1596697064574m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1596697064574m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1596697064574m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,AEP 오토바이 헬멧 김서림 방지 방수 코팅 필름 (1P),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Film/brain_bucket.gif""></p><br>
 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/Film_autobicycle.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br><div>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></div></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Film/brain_bucket.gif""></p><br>
 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/Film_autobicycle.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br><div>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></div></td></tr></tbody></table>
	",,,,2000,,2800.0,,,,,,,,,N,Y,T,S,,옵션{K137},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1590503763587m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1590503763587m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1590503763587m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1590503763587m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,(1P+1P) AEP 자동차 량용 사이드미러 방수 코팅 필름,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/sidemirror_gif.gif""></p><br>
 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/Side_Waterproof.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br><div>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></div></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/sidemirror_gif.gif""></p><br>
 <p align=""center""> <img src=""http://kapoka.godohosting.com/Film/Side_Waterproof.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br><div>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></div></td></tr></tbody></table>
	",,,,1500,,2100.0,,,,,,,,,N,Y,T,S,,"옵션{K128 01.사이즈(127mm x 87mm)|K128 02.사이즈(147mm x 97mm) (2,500원)|K128 03.사이즈(100mm x 100mm)}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1590719301317m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1590719301317m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1590719301317m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1590719301317m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,자동차 루프스킨 1롤 유광블랙 랩핑지 랩핑시트,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/Roofskin_Roll.jpg""></p><br>


<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/Film/Roofskin_Roll.jpg""></p><br>


<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,,,90000,,125999.99999999999,,,,,,,,,N,Y,T,S,,옵션{K277 01.유광블랙1롤},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1595213631971m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1595213631971m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1595213631971m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1595213631971m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,PVC 라이트필름 30x30 단위 판매,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/2013/Lightfilm/info_01.jpg""></p><br>


<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/2013/Lightfilm/info_01.jpg""></p><br>


<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,,,1200,,1680.0,,,,,,,,,N,Y,T,S,,옵션{K003 A.다크그레이(테일램프용)|K003 A.스카이블루|K003 A.퍼플|K003 A.그린|K003 A.클리어(투명)|K003 A.오렌지|K003 B.플로레슨트옐로우|K003 B.딥블루|K003 B.쿨오렌지|K003 B.펄블랙(테일램프용)|K003 B.카멜레온(투명)|K003 B.딥레드|K003 B.딥핑크|K003 B.딥그린},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1418362948614m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1418362948614m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1418362948614m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1418362948614m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
